Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,Dominica,DMA,2020,YR2020,..,..,4.345,..,..,..,..,..,..,..,..,..,3.879,..,..,..,..,..,71995
Food Prices for Nutrition 1.1,FPN 1.1,Dominican Republic,DOM,2020,YR2020,..,..,3.884,..,..,..,..,..,..,..,..,..,3.468,..,..,..,..,21.6,10999664
Food Prices for Nutrition 1.1,FPN 1.1,East Asia & Pacific,EAS,2020,YR2020,..,..,4.054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.5,2300278763
Food Prices for Nutrition 1.1,FPN 1.1,Ecuador,ECU,2020,YR2020,..,..,2.928,..,..,..,..,..,..,..,..,..,2.614,..,..,..,..,20.2,17588595
Food Prices for Nutrition 1.1,FPN 1.1,"Egypt, Arab Rep.",EGY,2020,YR2020,..,..,3.369,..,..,..,..,..,..,..,..,..,3.008,..,..,..,..,63.9,107465134
Food Prices for Nutrition 1.1,FPN 1.1,El Salvador,SLV,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Equatorial Guinea,GNQ,2020,YR2020,..,..,3.676,..,..,..,..,..,..,..,..,..,3.282,..,..,..,..,..,1596049
Food Prices for Nutrition 1.1,FPN 1.1,Estonia,EST,2020,YR2020,..,..,3.308,..,..,..,..,..,..,..,..,..,2.954,..,..,..,..,1.3,1329522
Food Prices for Nutrition 1.1,FPN 1.1,Eswatini,SWZ,2020,YR2020,..,..,3.391,..,..,..,..,..,..,..,..,..,3.028,..,..,..,..,75,1180655
Food Prices for Nutrition 1.1,FPN 1.1,Ethiopia,ETH,2020,YR2020,..,..,3.366,..,..,..,..,..,..,..,..,..,3.005,..,..,..,..,83.7,117190911
